, JK
A, clever
ABNORMALITY, UNDER
ABOUT, SAYING
ABSOLUTELY, DISGUSTED
AN, INQUIRY
AND, MURMURS
ANGLIA, MYSTIFIES
ANOTHER, ATTACK
ARAGOG, Summer
AT, THE
ATTAAAACK, Crash
ATTACK, NO
AWAY, But
Aaargh, said
About, time
Abyssinian, Shrivelfigs
According, to
Act, if
Add, yours
Admirable, sentiments
Adrian, Pucey
Adventures, of
After, a
Again, and
Against, the
Ah, Riddle
Aha, he
Albania, Relief
Albus, Dumbledore
Alicia, Spinnet
All, those
AllPurpose, Magical
Alley, didnt
Allow, me
Almost, said
Alone, in
Already, here
Always, happy
Am, I
Amazed, at
Amazing, This
American, plumbers
An, extraordinary
Ancient, Runes
And, together
Angelina, scoring
Anger, was
Anglia, was
Angus, Fleet
Another, attack
Answering, Lockharts
Any, ideas
Anyone, who
Anything, Harry
Anyway, what
Aparecium, Nothing
Apparate, yet
Apparently, Mr
Aragog, had
Are, you
Arent, you
Argus, said
Arithmancy, sounded
Armando, Dippet
Armenian, warlock
Arms, reached
Around, the
Arry, Potter
Arthur, Weasley
Artifacts, Office
Arts, classes
As, Harry
Ask, them
Assembly, of
Astronomy, department
At, last
Attracted, no
August, 
Aunt, Petunia
Auntie, Mabels
Award, Ron
Awards, for
Awfully, sorry
Azkaban, 
BACK, HOME
BANG, on
BBill, came
BEEN, OPENED
BEHAVE, LIKE
BEHIND, YOU
BEWARE, Whats
BIRD, THE
BIRTHDAY, Not
BLOOD, His
BLOTTS, Life
BLUDGER, Since
BOOK, yelled
BOTH, HAVE
BOY, IS
BRING, YOU
BURROW, Around
Babbling, Curse
Back, there
Bad, business
Baking, and
Bandon, Banshee
Bank, Hagrid
Banshee, had
Baron, a
Basilisk, flees
Bath, had
Bayliss, while
Be, careful
Beaters, And
Because, you
Bed, rest
Beds, empty
Bee, in
Been, Opened
Before, Fudge
Beginners, Magic
Behind, him
Bell, and
Best, not
Bet, you
Better, sent
Between, the
Beware, Potter
Big, deal
Bill, in
Bin, wonderin
Binns, where
Bless, them
Blimey, said
BloodSuckin, Bugbear
Bloody, Baron
Blotts, You
Bludger, try
Bludgers, have
Book, of
Books, can
Booster, Its
Boot, 
Borgin, and
Both, halfbloods
Boy, here
Boys, what
Brazil, Ron
Break, it
Brilliant, he
Broke, all
Brown, 
Browns, head
Bu, maybe
Bugbear, an
Bulstrode, mmust
Bulstrodes, ugly
Burkes, Harry
Burning, Day
Burrow, had
Busy, time
But, Dobby
By, means
C, We
CAN, STILL
CAR, I
CARS, FOR
CHAMBER, OF
CLUB, Harry
CORNELIUS, FUDGE
COULD, BOTH
CRASH, Both
CRUNCH, With
Call, me
Calm, yourself
Calmly, please
Can, I
Canceled, said
Cannon, robes
Cannons, a
Cant, have
Captain, This
Car, gone
Care, of
Careful, not
Catchpole, Lower
Caught, in
Cauldron, where
Caution, Do
Ccars, Molly
Celebrity, is
Celestina, Warbeck
Ceremony, is
Certainly, Harry
Chamber, of
Chambers, a
Chameleon, Ghouls
Championship, beating
Charlie, was
Charm, and
Charming, Smile
Charms, No
Chasers, Katie
Check, that
Cheese, Enchantment
Chest, heaving
Christmas, and
Chudley, Cannon
Claimed, the
Class, Honorary
Claus, It
Clauses, with
Cleansweep, Fives
Cleansweeps, 
Clearing, his
Clearly, said
Clearwater, said
Click, click
Cloak, Fang
Close, up
Club, Peeves
Clues, you
Clutching, his
Cmon, Ginny
Colin, just
Colins, bed
Come, Dobby
Coming, back
Committee, on
Common, blood
Completely, nonplussed
Confederation, of
Confused, and
Conjuring, up
Convention, of
Cool, said
Cornelius, I
Cornish, pixies
Correspondence, Course
Could, the
Couldve, been
Countless, times
Course, said
Crabbe, and
Crabbes, 
Craning, his
Crash, 
Cream, splattered
Creatures, Play
Creevey, in
Crime, 
Cross, when
Cruel, sarcastic
Cs, and
Cup, for
Curiously, it
Curse, a
Cursed, 
D, J
DARE, YOU
DDiagon, Alley
DE, MIMSYPORPINGTON
DEATHDAY, PARTY
DIARY, Hermione
DIDNT, BRING
DIE, OF
DIED, 
DISGUSTED, 
DO, WITH
DOBBYS, REWARD
DONT, SUPPOSE
DUDLEY, roared
DUELING, CLUB
DUMBLEDORE, LAST
Dabbing, at
Dad, say
Dadll, kill
Dads, boss
Daily, Prophet
Dangerous, 
Dark, Arts
Darkness, was
Date, Draco
Day, Lockhart
Ddid, I
Dead, Even
Deaf, to
Dean, I
Dear, me
DecapitatedPodmore, 
December, Professor
Decree, for
Defense, Against
Definitely, not
Deflating, Draught
Delaney, Podmore
Deliberately, causing
Delighted, 
Depends, where
Devilish, tricky
Diagon, Alley
Did, he
Didnt, you
Didsbury, says
Dimly, dazed
Dip, back
Dippet, to
Dirty, blood
Disarming, Charm
Distantly, from
Divination, People
Dizzy, and
Do, you
Dobby, disappeared
Dobbys, squeals
Doesnt, know
Don, think
Done, said
Dont, you
Down, the
Dozens, of
Dr, Filibusters
Draco, was
Dracos, father
Draught, will
Drawn, to
Dreadful, thing
Drive, On
Dudley, to
Dudleys, voice
Due, north
Dueling, Club
Dully, Harry
Dumbledore, announcing
Dumbledores, said
Dung, he
Dunno, 
During, their
Dursley, look
Dursleys, okay
Dyou, know
ENEMIES, OF
ENTIRELY, YOUR
EXPELLED, YOU
Each, was
Easter, holidays
Easy, Hermione
Eat, slugs
Egypt, with
Eh, Crabbe
Eight, oclock
Enchantment, in
Enchantments, than
Encyclopedia, of
Enemies, of
Enenchant, Ginny
English, he
Engorgement, Charm
Enjoy, your
Enjoying, yourselves
Enough, to
Enraged, hissing
Enter, said
Entrancing, Enchantments
Er, well
Ernie, and
Ernies, face
Errol, gently
Errols, beak
Escape, A
Escaping, their
Eton, Thats
European, Wizards
Even, the
Evening, Rubeus
Ever, been
Every, careful
Everybody, was
Everyone, thought
Everyones, just
Everything, around
Evidently, hatching
Evillooking, masks
Exactly, said
Exams, howled
Excellent, idea
Except, that
Excited, Harry
Excuse, me
Exhausted, stomach
Expelliarmus, 
ExpelliarmusV, and
Experimental, Charms
Explain, she
Exploding, Snap
Express, slowed
Eyes, still
FACING, AN
FATHER, WOULD
FATHERS, FACING
FAULT, AND
FLOURISH, AND
FLYING, FORD
FOR, YOUR
FORD, ANGLIA
FROM, DUMBLEDORE
FUDGE, Harry
Fabulous, Wet
Face, your
Fames, a
Famous, Harry
Fang, was
Fangs, stared
Far, too
Farewell, Harry
Fascinated, Harry
Fascinating, Page
Fat, Myrtle
Father, youre
Fathers, vote
Fawcett, 
Fawkes, to
Fawkess, timely
Feasts, 
February, fourteenth
Feel, out
Feeling, that
Feet, away
Fer, the
Fifty, points
Filch, kindly
Filchs, voice
Filibuster, fireworks
Filibusters, Fabulous
Filth, he
Filthy, and
Finally, 
Finch, Fletchley
FinchFletchley, was
Find, yourself
Fine, 
Finite, Incantatem
Finnigan, Were
Firewhisky, He
Fireworks, and
First, of
Five, of
Fives, I
Fleet, of
FleshEatin, Slug
FleshEating, Slug
Fletcher, tried
Fletchley, The
Flint, yelling
Flints, arm
Flitwick, Ddid
Flitwicks, class
Floo, powder
Flourish, and
Fluffy, And
Flying, with
Follow, the
Foothigh, words
For, a
Forbidden, Forest
Force, Defense
Forces, Still
Ford, Anglia
Forest, to
Forgot, to
Fortunately, Malfoy
Four, Harry
Fourteen, times
Frankly, Im
Fred, who
Freds, Filibuster
Freezing, Charm
Freshly, caught
Friar, a
Friday, morning
Friends, will
From, everything
Fudge, through
Fuming, almost
Funny, you
Furious, Harry
GET, HOLD
GETTING, AWAY
GHOST, IS
GILDEROY, LOCKHART
GONE, 
Gadding, with
Gained, Power
Galleon, Mrs
Galleons, the
Gambol, and
Gasping, for
Gather, round
Gave, you
Gentlemen, please
George, sniggering
Georges, head
Gerroff, me
Get, away
Gettin, on
Ghouls, right
GhoulsV, said
Gilderoy, Sword
Ginny, Thats
Ginnyl, said
Ginnys, face
Give, that
Givin, me
Gladys, Gudgeon
Glancing, out
Glory, said
Go, back
Godric, Gryffindor
Golden, Snitch
Gone, to
Good, evening
Goodbye, friend
Goodness, I
Goshawk, Break
Got, a
Gotcha, Fred
Gotta, bone
Goyle, I
Goyles, huge
Goylesize, feet
Grade, 
Granger, I
Grangers, who
Grans, sending
Grant, Please
Great, Hall
Greenhouse, three
Gringotts, to
Grinning, stupidly
Gryffindor, securing
Gryffindors, around
Gudgeon, bless
Guess, who
Guide, to
HARRY, COULD
HAS, BEEN
HAVE, DIED
HEIR, OF
HES, GETTING
HIM, Harry
HOLD, OF
HOME, Page
HOUSE, But
HOW, DARE
Ha, ha
Had, to
Hagrid, turning
Hagridl, said
Hagrids, Harry
Hags, She
HairRaising, Potion
Half, an
Halfblood, sir
Halfway, through
Hall, instead
Halloween, but
Hand, it
Handing, it
Hands, on
Hang, on
Hannah, were
Happy, Valentines
Hard, to
Harder, to
Hardly, anyone
Harry, Potter
Harrys, middle
Has, Been
Hasnt, got
Hat, placed
Have, you
Havent, got
He, was
HeWho, MustNotBeNamed
HeWhoMustNotBe, Named
HeWhoMustNotBeNamed, was
Head, Boy
Headless, Nick
Headmaster, Page
Heads, of
Hear, me
Heard, you
Hearing, voices
Hed, look
Hedwig, swooped
Hedwigs, cage
Heir, of
Helga, Hufflepuff
Hell, lend
Hello, he
Help, me
Her, bemused
Herbology, class
Here, is
Hermes, 
Hermione, as
HermioneY, Ron
Hermionell, probably
Hermiones, okay
Hes, been
Hetty, Bayliss
Hey, 
Higher, and
Him, and
His, face
History, of
Hit, him
Hiya, Harry
Ho, said
Hockey, and
Hocus, pocus
Hog, warts
Hogwarts, Express
Hold, on
Holding, Your
Holidays, with
Homework, 
Homorphus, Charm
Honestly, if
Honorary, Member
Hooch, who
Hoochs, whistle
Hopefully, whatever
Hopkirk, IMPROPER
Hornby, you
Horrorstruck, Harry
Horseback, Head
Hot, all
Hour, with
Hours, and
House, Cup
Houseelves, come
Household, Pests
Houses, should
Hover, Charm
How, should
However, said
Howler, back
Hows, this
Hufflepuff, table
Hufflepuffs, to
Huge, cracks
Hullo, Colin
Hundreds, of
Hunt, It
Hurry, up
I, didnt
IF, YOU
IMPROPER, USE
IN, OUR
INQUIRY, AT
INSTANCE, Page
IS, BEHIND
IT, WAS
ITS, ENTIRELY
IVoooooo, Ron
Id, better
Idve, ditched
If, any
Ignoring, the
Ill, leave
Im, sure
Imagine, the
Immediately, please
Impaled, upon
In, Flourish
Incantatem, he
Inch, by
Indeed, yes
Ingenious, really
Ink, spurted
Innocent, until
Innumerable, candles
Insert, a
Inside, the
Inspired, What
Instead, he
Instinctively, Harry
International, Warlock
Intrigued, Harry
Invisibility, Cloak
Is, it
Isnt, it
It, was
Itd, be
Itll, hear
Its, that
Ive, just
J, Prod
JK, Rowling
JUICE, POTION
January, first
Japanese, golfer
Japes, Wizarding
Jc, Harry
Jealous, said
Jiggery, pokeryV
Johnson, were
Joke, Shop
Jordan, counting
Judging, by
Juggling, and
June, one
Just, promise
Justin, hurrying
Justins, Harry
KILL, THE
KWIKSPELL, A
Katie, had
Keeper, too
Keeping, his
Kent, 
Kill, him
Kind, of
King, of
Kings, Cross
Knock, turn
Knockturn, Alley
Know, only
KnowWho, I
Knowing, Snape
Knuts, in
Kwikspell, course
LAST, NIGHT
LEAF, OUT
LEAVE, THE
LETTER, FROM
LIKE, THIS
LINE, WELL
LIVES, ATTAAAACK
LOCKHART, The
Lacewing, flies
Ladies, and
Large, rotten
Last, term
Later, Harry
Lavender, Browns
League, and
Leaky, Cauldron
Least, I
Leave, him
Leaving, their
Led, by
Lee, but
Leering, he
Lemon, drop
Lesson, One
Let, me
Lets, match
Letters, from
Level, with
Levels, George
Lie, back
Life, at
Like, what
Listen, to
Little, Ginnys
Live, uns
Lives, of
Load, of
Loads, more
Locked, in
Lockhart, would
Lockharts, valentine
London, He
Longbottom, who
Longbottoms, wand
Looc, Something
Look, Him
Looking, for
Looks, like
Lord, before
Lords, power
Losing, his
Lost, control
Loud, and
Lousy, Muggles
Love, Potion
Lovely, day
Lower, and
Lucius, Malfoy
Luckily, they
Lucky, that
Lumos, and
Lumosl, Harry
Lying, open
M, Riddle
MAGIC, Arthur
MAGICAL, ME
ME, today
MENTION, OF
MIMSYPORPINGTON, DIED
MINISTRY, OF
MMillicent, Bulstrode
MORTAL, OR
MUDBLOODS, AND
MUGGLES, He
MURMURS, Harry
MUUUUM, Hes
MUUUUUUM, howled
MYRTLE, Oh
MYSTIFIES, MUGGLES
Mabels, birthday
Macmillan, Ernie
Mad, Muggle
Madam, Pomfrey
Made, Easy
Mafalda, Hopkirk
Magic, 
Magical, Creatures
Magid, And
Mails, due
Majorca, than
Make, way
Making, sure
Malfoy, had
Malfoys, hand
Mandragora, is
Mandrake, juice
Mandrakes, are
March, several
Marcus, Flint
Mark, my
Martin, Miggs
Marvolo, after
Mason, stayed
Masons, head
Master, threw
May, I
Maybe, its
McGonagall, standing
McGonagalls, desk
Me, too
Meanwhile, hidden
Medal, for
Medicine, for
Medieval, Assembly
Meet, you
Melted, said
Member, of
Memory, Charm
Men, clicked
Merit, and
Merlin, Third
Merry, Christmas
Mess, Remover
Met, her
Midnight, said
Miggs, the
Might, I
Millicent, Bulstrodes
Millicents, nose
Mind, you
Minerva, Professor
Minister, of
Ministry, of
Ministryll, think
Ministrys, got
Minute, Feasts
Miranda, Goshawk
Miserable, moaning
Miss, Weasley
Mister, Malfoy
Misuse, of
Mmm, and
Moaning, Myrtle
Molly, dear
Mollys, frantic
Monday, morning
Moonlight, was
Mopping, all
More, than
Morning, which
Mortlake, was
Mosag, and
Most, of
MostCharmingSmile, Award
Moste, Potente
Mother, was
Mouth, hanging
Move, 
Mr, Malfoy
Mrs, Weasley
Much, as
Mudblood, mother
Mudbloods, doesnt
MudbloodsV, 
Muggle, world
Mugglebaiting, sighed
Muggleborn, mother
Muggleborns, 
Muggleloving, fool
Muggles, Probably
Mugglesl, said
Mum, got
Mums, always
Mundungus, Fletcher
Music, was
Must, be
MustNotBeNamed, remember
Muttering, darkly
My, common
Myrtle, had
Myrtles, grown
NICHOLAS, DE
NIGHT, I
NO, Harry
NOOOOOOO, The
NOT, TOLERATE
Name, 
Named, Harry
Narrow, jets
National, Squad
Natural, to
Naturally, the
Near, sunset
Nearly, Headless
Neither, of
Nettles, of
Never, trust
Nevertheless, Harry
Neville, Longbottoms
Nevilles, snuffling
Next, moment
Nibbles, he
Nice, loud
Nick, got
Nicks, fate
Night, Harry
Nimbus, Two
Nine, And
Nineteen, Muggle
Ninth, in
No, one
NoHeat, Fireworks
Nobody, seemed
None, of
Nonsense, OFlaherty
Nor, could
Norfolk, Mrs
Norris, only
Norriss, fate
Nose, still
Not, now
Nothin, 
Nothing, but
Nothings, about
Now, Harry
OCTOBER, 
OF, SLYTHERIN
OFFICE, Ministry
OFlaherty, said
OK, The
ON, THE
OPENED, ENEMIES
OR, GHOST
ORDER, sign
OUR, HOUSE
OUT, OF
OWL, Ive
OWLs, or
OY, MYRTLE
Obliviatel, The
Obviously, not
October, arrived
Odd, sort
